"game","order","displayText","source","signal","difficulty","answerLeak","moderation","status"
"Starfield","1","А ты? Много потешного детского хейта было к игре за последнее время, настроение повышает знатно.","https://dtf.ru/id123425/2084400-o-starfield-ili-operaciya-ohladit-by?comment=29092490","player-experience","hard","false","safe","published"
"Starfield","2","Спасибо. Хоть один нормальный разъёб без очередного ""я не могу подлететь к планете, Тодд Говард сломал моё погружение"". А тут всё по делу и возразить нечего.","https://dtf.ru/games/2115320-starfield-issledoval-100-planet-i-teper-delyus-mneniem-ob-igre?comment=29575376","player-experience","hard/medium","false","safe","published"
"Starfield","3","Bioware хотя бы не говорила всем подряд что они изобрели NASApunk какой-то для игры. Если у Bioware в игре магия есть, то какого черта нет инопланетян? Было бы не так тоскливо сотни тысяч одинаковых спэйсеров убивать","https://dtf.ru/games/2382225-protivorechie-goda-starfield?comment=33869308","player-experience","medium","false","safe","published"
"Starfield","4","База. [название игры] не имеет ничего общего с теми самыми играми бесезды за которые студию любят. Это всё равно что Биовары бы сделали игру без романов и напарников.","https://dtf.ru/games/2382225-protivorechie-goda-starfield?comment=33868947","player-experience","medium","false","safe","published"
"Starfield","5","на дтф началась арка [название игры], всех поздравляю!","https://dtf.ru/games/2074898-ocenki-starfield-88-ballov-iz-100-na-metacritic?comment=28943930","community-humor","medium/easy","false","safe","published"
"Starfield","6","Новости про [название игры] с каждым разом всё смешнее.","https://dtf.ru/gameindustry/2345832-dizain-direktor-starfield-obratilsya-k-kritikam-igr-ne-dumaite-chto-znaete-pochemu-oni-vyhodyat-imenno-takimi?comment=33238647","community-humor","easy","false","safe","published"
"Starfield","","Вот смотрю я на [название игры] и не могу понять А нахуя нужна механика корабля, если она совсем никакая?","https://dtf.ru/id123425/2084400-o-starfield-ili-operaciya-ohladit-by?comment=29092457","mechanics","reserve","false","safe","reserve"
"Starfield","","Не будем спорить о вкусах, но вот раздел оптимизация шедеврален.","https://dtf.ru/id123425/2084400-o-starfield-ili-operaciya-ohladit-by?comment=29092976","technical","reserve","false","safe","reserve"
"Starfield","",">На летней демонстрации космическая RPG выглядела настолько здорово Игра даже тогда выглядела паршиво, а авторы пытались скрыть те же загрузки любыми способами.","https://dtf.ru/games/2382225-protivorechie-goda-starfield?comment=33869158","technical","reserve","false","safe","reserve"
"Cyberpunk 2077","1","Готовятся удалять со всех торрент-трекеров.","https://dtf.ru/granger/2406112-dlya-cyberpunk-2077-phantom-liberty-vyshla-neiroozvuchka-na-russkom-yazyke?comment=34183277","player-experience","hard","false","safe","published"
"Cyberpunk 2077","2","Так ещё и аудитория вокруг игры собралась такая, не очень притязательная, потому что не часто в игры играет, за пределами очень популярных проектов.","https://dtf.ru/games/2597606-heiteram-predlagayu-vspomnit-reliz-cyberpunk-2077-chto-pishut-igroki-o-smute?comment=37505676","player-experience","hard/medium","false","safe","published"
"Cyberpunk 2077","3","Огромное количество игр (от третьего ведьмака до бэтмена архэм сити) ставят персонажа и игрока в нарративно жёсткие временные рамки и...","https://dtf.ru/granger/3902170-patch-2-3-dlya-cyberpunk-2077?comment=54077822","story","medium","false","safe","published"
"Cyberpunk 2077","4","Реально, можно вспомнит... КП вышел на релизе жутко забагованным, на старых поколениях консолей почти неиграбельным куском кода, но....","https://dtf.ru/games/2597606-heiteram-predlagayu-vspomnit-reliz-cyberpunk-2077-chto-pishut-igroki-o-smute?comment=37507558","technical; release-context","medium","false","safe","published"
"Cyberpunk 2077","5","Кибер кал 2077 может и хорошая, не играл, а вот [название игры] шикарное произведение, ставшее флагманом едва ли не канувшего в лету жанра киберпанк","https://dtf.ru/granger/3902170-patch-2-3-dlya-cyberpunk-2077?comment=54077879","technical","medium/easy","false","safe","published"
"Cyberpunk 2077","6","Хейтерам предлагаю вспомнить релиз [название игры] Вспоминаю. Как их позор отменяет этот?","https://dtf.ru/games/2597606-heiteram-predlagayu-vspomnit-reliz-cyberpunk-2077-chto-pishut-igroki-o-smute?comment=37505439","technical; release-context","easy","false","safe","published"
"Cyberpunk 2077","","Лица русских актёров, которые озвучивали первую часть ещё смешнее должны выглядеть, там же и их голоса (или нет?)","https://dtf.ru/granger/2406112-dlya-cyberpunk-2077-phantom-liberty-vyshla-neiroozvuchka-na-russkom-yazyke?comment=34183342","community-humor","reserve","false","safe","reserve"
"Cyberpunk 2077","","Ясно, ведьмак с пушками 2077 хорошая игра. Так и запишем.","https://dtf.ru/granger/3902170-patch-2-3-dlya-cyberpunk-2077?comment=54077930","player-experience","reserve","false","safe","reserve"
"Cyberpunk 2077","","> В [название игры] появится возможность повторно участвовать в гонках с Клэр.","https://dtf.ru/games/2314020-cdpr-predstavila-masshtabnyi-patch-21-dlya-cyberpunk-2077-v-nem-dobavyat-metro?comment=32738052","player-experience","reserve","false","safe","reserve"
"Baldur’s Gate 3","1","То, что ты в каждой новости по BG3 пишешь одно и то же) Покажи, где тебя трогал изометрический медведь","https://dtf.ru/games/1977565-sven-vinke-chestno-govorya-ne-ponimayu-pochemu-drugie-studii-ne-delayut-klassicheskie-rpg?comment=27410199","player-experience","hard","false","safe","published"
"Baldur’s Gate 3","2","Окей, ожидать адекватного ответа от быдлана, который в нг заходит в комменты оскорбить человека, было глупо.","https://dtf.ru/games/2376144-igra-goda-1-mesto-baldurs-gate-3?comment=33904347","player-experience","hard/medium","false","safe","published"
"Baldur’s Gate 3","3","Предсказуемо печальный итог. Дать BG3 не просто место в топе, а вообще первое место - это не просто шаг назад для игрожура, это двойное сальто с тулупом и приземлением на шею, а для геймдева это ответ на вопрос ""почему игры всё ещё не искусство"".","https://dtf.ru/games/2376144-igra-goda-1-mesto-baldurs-gate-3?comment=33904329","player-experience","medium","false","safe","published"
"Baldur’s Gate 3","4","Вся эта простыня текста особого смысла не имеет, UI/UX в BG3 просто ужасен, максимально неудобен, перегружен и неинформативен, чего стоит интерфейс торговли или кнопка мультикласса, которая запрятана куда-то в жопу и я её нашёл например только спустя 80 часов игры, только потому,","https://dtf.ru/games/2370927-sravnitelnyi-analiz-dizaina-baldurs-gate-3-i-wh40k-rogue-trader?comment=33636440","player-experience","medium","false","safe","published"
"Baldur’s Gate 3","5","Не знаю, что у него там по швам разошлось. Второй акт бомбезный на сюжетные события. Именно в нем наконец понимаешь, с чем и с кем имеешь дело и охуеваешь. Третий акт сдаёт, но у меня все более менее лаконично завершилось.","https://dtf.ru/games/2059618-u-baldurs-gate-3-poyavilsya-pervyi-smeshannyi-obzor-na-metacritic-zhurnalist-postavil-igre-7-ballov-iz-10?comment=28691943","story","medium/easy","false","safe","published"
"Baldur’s Gate 3","6",">Геймплей Скудный и убогий >персонажи, сюжет, мир В это ларианы не умеют, что в очередной раз и продемонстрировали >интерактив мнимый >вариативность её нет >ВСЁ есть и исполнение на уровне на уровне говна. традиционно для ларианов.","https://dtf.ru/games/3083243-100-luchshih-pk-igr-po-versii-pc-gamer-baldurs-gate-3-na-pervom-meste?comment=44335051","mechanics; story","easy","false","safe","published"
"Baldur’s Gate 3","","Увидя [название игры] на первом месте, понял, что игровая индустрия умирает.","https://dtf.ru/games/3083243-100-luchshih-pk-igr-po-versii-pc-gamer-baldurs-gate-3-na-pervom-meste?comment=44333540","player-experience","reserve","false","safe","reserve"
"Baldur’s Gate 3","","Боюсь растерзают меня за такие слова, но слишком уж много бг дали наград, в некоторых категориях так и вовсе не заслуженно. С этого особенно выпал >Лучшее игровое сообщество - [название игры]","https://dtf.ru/games/2254962-absolyutnyi-triumf-baldurs-gate-3-itogi-golden-joystick-awards-2023?comment=31852364","player-experience","reserve","false","safe","reserve"
"Baldur’s Gate 3","",">По его мнению, после первого акта RPG от Larian Studios начинает «расходиться по швам». А в чём он не прав?","https://dtf.ru/games/2059618-u-baldurs-gate-3-poyavilsya-pervyi-smeshannyi-obzor-na-metacritic-zhurnalist-postavil-igre-7-ballov-iz-10?comment=28691839","player-experience","reserve","false","safe","reserve"
"DEATH STRANDING","1","Пиздец Кодзима выдал, ахуй… Просто дайте мне блять эту игру. Я хочу поиграть в игру года","https://dtf.ru/games/2462640-death-stranding-2-remeik-silent-hill-2-i-judas-chto-pokazali-na-state-of-play?comment=35186056","player-experience","hard","false","safe","published"
"DEATH STRANDING","2","2025 тупо один из лучших годов в игровой индустрии! Сначала шедевральный KCDII, потом DOOM, потом DS2... А если еще и GTA VI и Silksong выйдут, то я вообще всё закончу","https://dtf.ru/games/3626613-death-stranding-2-vyidet-26-iyunya-bolshoi-treiler-skrinshoty-i-podrobnosti-ob-igre?comment=49634525","player-experience","hard/medium","false","safe","published"
