"game","canonicalGameId","commentId","url","postUrl","publishedAt","status","sourceVerifiedAt","published"
"Starfield","steam_1716740","29092490","https://dtf.ru/id123425/2084400-o-starfield-ili-operaciya-ohladit-by?comment=29092490","https://dtf.ru/id123425/2084400-o-starfield-ili-operaciya-ohladit-by","2023-09-04T04:43:11.000Z","verified","2026-07-24","true"
"Starfield","steam_1716740","29575376","https://dtf.ru/games/2115320-starfield-issledoval-100-planet-i-teper-delyus-mneniem-ob-igre?comment=29575376","https://dtf.ru/games/2115320-starfield-issledoval-100-planet-i-teper-delyus-mneniem-ob-igre","2023-09-15T05:00:20.000Z","verified","2026-07-24","true"
"Starfield","steam_1716740","33869308","https://dtf.ru/games/2382225-protivorechie-goda-starfield?comment=33869308","https://dtf.ru/games/2382225-protivorechie-goda-starfield","2023-12-30T10:51:18.000Z","verified","2026-07-24","true"
"Starfield","steam_1716740","33868947","https://dtf.ru/games/2382225-protivorechie-goda-starfield?comment=33868947","https://dtf.ru/games/2382225-protivorechie-goda-starfield","2023-12-30T10:41:54.000Z","verified","2026-07-24","true"
"Starfield","steam_1716740","28943930","https://dtf.ru/games/2074898-ocenki-starfield-88-ballov-iz-100-na-metacritic?comment=28943930","https://dtf.ru/games/2074898-ocenki-starfield-88-ballov-iz-100-na-metacritic","2023-08-31T16:05:13.000Z","verified","2026-07-24","true"
"Starfield","steam_1716740","33238647","https://dtf.ru/gameindustry/2345832-dizain-direktor-starfield-obratilsya-k-kritikam-igr-ne-dumaite-chto-znaete-pochemu-oni-vyhodyat-imenno-takimi?comment=33238647","https://dtf.ru/gameindustry/2345832-dizain-direktor-starfield-obratilsya-k-kritikam-igr-ne-dumaite-chto-znaete-pochemu-oni-vyhodyat-imenno-takimi","2023-12-14T11:39:13.000Z","verified","2026-07-24","true"
"Starfield","steam_1716740","29092457","https://dtf.ru/id123425/2084400-o-starfield-ili-operaciya-ohladit-by?comment=29092457","https://dtf.ru/id123425/2084400-o-starfield-ili-operaciya-ohladit-by","2023-09-04T04:41:50.000Z","verified","2026-07-24","false"
"Starfield","steam_1716740","29092976","https://dtf.ru/id123425/2084400-o-starfield-ili-operaciya-ohladit-by?comment=29092976","https://dtf.ru/id123425/2084400-o-starfield-ili-operaciya-ohladit-by","2023-09-04T05:00:12.000Z","verified","2026-07-24","false"
"Starfield","steam_1716740","33869158","https://dtf.ru/games/2382225-protivorechie-goda-starfield?comment=33869158","https://dtf.ru/games/2382225-protivorechie-goda-starfield","2023-12-30T10:47:06.000Z","verified","2026-07-24","false"
"Cyberpunk 2077","steam_1091500","34183277","https://dtf.ru/granger/2406112-dlya-cyberpunk-2077-phantom-liberty-vyshla-neiroozvuchka-na-russkom-yazyke?comment=34183277","https://dtf.ru/granger/2406112-dlya-cyberpunk-2077-phantom-liberty-vyshla-neiroozvuchka-na-russkom-yazyke","2024-01-07T14:16:24.000Z","verified","2026-07-24","true"
"Cyberpunk 2077","steam_1091500","37505676","https://dtf.ru/games/2597606-heiteram-predlagayu-vspomnit-reliz-cyberpunk-2077-chto-pishut-igroki-o-smute?comment=37505676","https://dtf.ru/games/2597606-heiteram-predlagayu-vspomnit-reliz-cyberpunk-2077-chto-pishut-igroki-o-smute","2024-04-04T18:18:37.000Z","verified","2026-07-24","true"
"Cyberpunk 2077","steam_1091500","34183342","https://dtf.ru/granger/2406112-dlya-cyberpunk-2077-phantom-liberty-vyshla-neiroozvuchka-na-russkom-yazyke?comment=34183342","https://dtf.ru/granger/2406112-dlya-cyberpunk-2077-phantom-liberty-vyshla-neiroozvuchka-na-russkom-yazyke","2024-01-07T14:17:51.000Z","verified","2026-07-24","true"
"Cyberpunk 2077","steam_1091500","54077822","https://dtf.ru/granger/3902170-patch-2-3-dlya-cyberpunk-2077?comment=54077822","https://dtf.ru/granger/3902170-patch-2-3-dlya-cyberpunk-2077","2025-07-16T15:53:32.000Z","verified","2026-07-24","true"
"Cyberpunk 2077","steam_1091500","37507558","https://dtf.ru/games/2597606-heiteram-predlagayu-vspomnit-reliz-cyberpunk-2077-chto-pishut-igroki-o-smute?comment=37507558","https://dtf.ru/games/2597606-heiteram-predlagayu-vspomnit-reliz-cyberpunk-2077-chto-pishut-igroki-o-smute","2024-04-04T19:24:43.000Z","verified","2026-07-24","true"
"Cyberpunk 2077","steam_1091500","37505439","https://dtf.ru/games/2597606-heiteram-predlagayu-vspomnit-reliz-cyberpunk-2077-chto-pishut-igroki-o-smute?comment=37505439","https://dtf.ru/games/2597606-heiteram-predlagayu-vspomnit-reliz-cyberpunk-2077-chto-pishut-igroki-o-smute","2024-04-04T18:11:50.000Z","verified","2026-07-24","true"
"Cyberpunk 2077","steam_1091500","54077930","https://dtf.ru/granger/3902170-patch-2-3-dlya-cyberpunk-2077?comment=54077930","https://dtf.ru/granger/3902170-patch-2-3-dlya-cyberpunk-2077","2025-07-16T15:56:13.000Z","verified","2026-07-24","false"
"Cyberpunk 2077","steam_1091500","32738052","https://dtf.ru/games/2314020-cdpr-predstavila-masshtabnyi-patch-21-dlya-cyberpunk-2077-v-nem-dobavyat-metro?comment=32738052","https://dtf.ru/games/2314020-cdpr-predstavila-masshtabnyi-patch-21-dlya-cyberpunk-2077-v-nem-dobavyat-metro","2023-12-01T16:35:14.000Z","verified","2026-07-24","false"
"Cyberpunk 2077","steam_1091500","27114428","https://dtf.ru/gameindustry/1956791-obzory-cyberpunk-2077-v-steam-stali-ochen-polozhitelnymi-spustya-dva-s-polovinoi-goda-posle-reliza?comment=27114428","https://dtf.ru/gameindustry/1956791-obzory-cyberpunk-2077-v-steam-stali-ochen-polozhitelnymi-spustya-dva-s-polovinoi-goda-posle-reliza","2023-07-14T15:13:18.000Z","verified","2026-07-24","false"
"Baldur’s Gate 3","steam_1086940","27410199","https://dtf.ru/games/1977565-sven-vinke-chestno-govorya-ne-ponimayu-pochemu-drugie-studii-ne-delayut-klassicheskie-rpg?comment=27410199","https://dtf.ru/games/1977565-sven-vinke-chestno-govorya-ne-ponimayu-pochemu-drugie-studii-ne-delayut-klassicheskie-rpg","2023-07-23T09:53:51.000Z","verified","2026-07-24","true"
"Baldur’s Gate 3","steam_1086940","33904347","https://dtf.ru/games/2376144-igra-goda-1-mesto-baldurs-gate-3?comment=33904347","https://dtf.ru/games/2376144-igra-goda-1-mesto-baldurs-gate-3","2023-12-31T10:02:05.000Z","verified","2026-07-24","true"
"Baldur’s Gate 3","steam_1086940","33904329","https://dtf.ru/games/2376144-igra-goda-1-mesto-baldurs-gate-3?comment=33904329","https://dtf.ru/games/2376144-igra-goda-1-mesto-baldurs-gate-3","2023-12-31T10:01:49.000Z","verified","2026-07-24","true"
"Baldur’s Gate 3","steam_1086940","33636440","https://dtf.ru/games/2370927-sravnitelnyi-analiz-dizaina-baldurs-gate-3-i-wh40k-rogue-trader?comment=33636440","https://dtf.ru/games/2370927-sravnitelnyi-analiz-dizaina-baldurs-gate-3-i-wh40k-rogue-trader","2023-12-24T17:31:49.000Z","verified","2026-07-24","true"
"Baldur’s Gate 3","steam_1086940","28691943","https://dtf.ru/games/2059618-u-baldurs-gate-3-poyavilsya-pervyi-smeshannyi-obzor-na-metacritic-zhurnalist-postavil-igre-7-ballov-iz-10?comment=28691943","https://dtf.ru/games/2059618-u-baldurs-gate-3-poyavilsya-pervyi-smeshannyi-obzor-na-metacritic-zhurnalist-postavil-igre-7-ballov-iz-10","2023-08-25T13:37:55.000Z","verified","2026-07-24","true"
"Baldur’s Gate 3","steam_1086940","44335051","https://dtf.ru/games/3083243-100-luchshih-pk-igr-po-versii-pc-gamer-baldurs-gate-3-na-pervom-meste?comment=44335051","https://dtf.ru/games/3083243-100-luchshih-pk-igr-po-versii-pc-gamer-baldurs-gate-3-na-pervom-meste","2024-10-14T16:36:19.000Z","verified","2026-07-24","true"
"Baldur’s Gate 3","steam_1086940","44333540","https://dtf.ru/games/3083243-100-luchshih-pk-igr-po-versii-pc-gamer-baldurs-gate-3-na-pervom-meste?comment=44333540","https://dtf.ru/games/3083243-100-luchshih-pk-igr-po-versii-pc-gamer-baldurs-gate-3-na-pervom-meste","2024-10-14T15:56:13.000Z","verified","2026-07-24","false"
"Baldur’s Gate 3","steam_1086940","31852364","https://dtf.ru/games/2254962-absolyutnyi-triumf-baldurs-gate-3-itogi-golden-joystick-awards-2023?comment=31852364","https://dtf.ru/games/2254962-absolyutnyi-triumf-baldurs-gate-3-itogi-golden-joystick-awards-2023","2023-11-10T18:06:12.000Z","verified","2026-07-24","false"
"Baldur’s Gate 3","steam_1086940","28691839","https://dtf.ru/games/2059618-u-baldurs-gate-3-poyavilsya-pervyi-smeshannyi-obzor-na-metacritic-zhurnalist-postavil-igre-7-ballov-iz-10?comment=28691839","https://dtf.ru/games/2059618-u-baldurs-gate-3-poyavilsya-pervyi-smeshannyi-obzor-na-metacritic-zhurnalist-postavil-igre-7-ballov-iz-10","2023-08-25T13:35:31.000Z","verified","2026-07-24","false"
"DEATH STRANDING","steam_1190460","35186056","https://dtf.ru/games/2462640-death-stranding-2-remeik-silent-hill-2-i-judas-chto-pokazali-na-state-of-play?comment=35186056","https://dtf.ru/games/2462640-death-stranding-2-remeik-silent-hill-2-i-judas-chto-pokazali-na-state-of-play","2024-01-31T22:41:19.000Z","verified","2026-07-24","true"
"DEATH STRANDING","steam_1190460","49634525","https://dtf.ru/games/3626613-death-stranding-2-vyidet-26-iyunya-bolshoi-treiler-skrinshoty-i-podrobnosti-ob-igre?comment=49634525","https://dtf.ru/games/3626613-death-stranding-2-vyidet-26-iyunya-bolshoi-treiler-skrinshoty-i-podrobnosti-ob-igre","2025-03-09T21:17:30.000Z","verified","2026-07-24","true"
"DEATH STRANDING","steam_1190460","49635079","https://dtf.ru/games/3626613-death-stranding-2-vyidet-26-iyunya-bolshoi-treiler-skrinshoty-i-podrobnosti-ob-igre?comment=49635079","https://dtf.ru/games/3626613-death-stranding-2-vyidet-26-iyunya-bolshoi-treiler-skrinshoty-i-podrobnosti-ob-igre","2025-03-09T21:44:32.000Z","verified","2026-07-24","true"
"DEATH STRANDING","steam_1190460","49635516","https://dtf.ru/games/3626613-death-stranding-2-vyidet-26-iyunya-bolshoi-treiler-skrinshoty-i-podrobnosti-ob-igre?comment=49635516","https://dtf.ru/games/3626613-death-stranding-2-vyidet-26-iyunya-bolshoi-treiler-skrinshoty-i-podrobnosti-ob-igre","2025-03-09T22:06:36.000Z","verified","2026-07-24","true"
"DEATH STRANDING","steam_1190460","35187253","https://dtf.ru/games/2462640-death-stranding-2-remeik-silent-hill-2-i-judas-chto-pokazali-na-state-of-play?comment=35187253","https://dtf.ru/games/2462640-death-stranding-2-remeik-silent-hill-2-i-judas-chto-pokazali-na-state-of-play","2024-01-31T23:11:19.000Z","verified","2026-07-24","true"
"DEATH STRANDING","steam_1190460","53284667","https://dtf.ru/games/3851499-death-stranding-2-obzory-i-otsenki?comment=53284667","https://dtf.ru/games/3851499-death-stranding-2-obzory-i-otsenki","2025-06-23T12:13:30.000Z","verified","2026-07-24","true"
"DEATH STRANDING","steam_1190460","53286606","https://dtf.ru/games/3851499-death-stranding-2-obzory-i-otsenki?comment=53286606","https://dtf.ru/games/3851499-death-stranding-2-obzory-i-otsenki","2025-06-23T13:03:26.000Z","verified","2026-07-24","false"
"DEATH STRANDING","steam_1190460","35187492","https://dtf.ru/games/2462640-death-stranding-2-remeik-silent-hill-2-i-judas-chto-pokazali-na-state-of-play?comment=35187492","https://dtf.ru/games/2462640-death-stranding-2-remeik-silent-hill-2-i-judas-chto-pokazali-na-state-of-play","2024-01-31T23:19:47.000Z","verified","2026-07-24","false"
"DEATH STRANDING","steam_1190460","53286687","https://dtf.ru/games/3851499-death-stranding-2-obzory-i-otsenki?comment=53286687","https://dtf.ru/games/3851499-death-stranding-2-obzory-i-otsenki","2025-06-23T13:05:13.000Z","verified","2026-07-24","false"
"The Day Before","steam_1372880","32990516","https://dtf.ru/games/2330791-mmo-ekshen-the-day-before-vyshel-v-rannem-dostupe-igra-stoit-1300-rublei?comment=32990516","https://dtf.ru/games/2330791-mmo-ekshen-the-day-before-vyshel-v-rannem-dostupe-igra-stoit-1300-rublei","2023-12-07T18:01:41.000Z","verified","2026-07-24","true"
"The Day Before","steam_1372880","33138345","https://dtf.ru/gameindustry/2340041-progrev-goda-kak-v-seti-otreagirovali-na-zakrytie-studii-fntastic?comment=33138345","https://dtf.ru/gameindustry/2340041-progrev-goda-kak-v-seti-otreagirovali-na-zakrytie-studii-fntastic","2023-12-11T20:36:14.000Z","verified","2026-07-24","true"
"The Day Before","steam_1372880","33028655","https://dtf.ru/games/2333429-the-day-before-voshla-v-troiku-samyh-nizkoocenennyh-igr-v-steam-sredi-taitlov-s-tysyachami-obzorov?comment=33028655","https://dtf.ru/games/2333429-the-day-before-voshla-v-troiku-samyh-nizkoocenennyh-igr-v-steam-sredi-taitlov-s-tysyachami-obzorov","2023-12-08T15:24:35.000Z","verified","2026-07-24","true"
"The Day Before","steam_1372880","35242867","https://dtf.ru/gameindustry/2465680-smi-the-day-before-menyali-pod-vpechatleniem-ot-drugih-igr-a-sotrudnikov-fntastic-shtrafovali-i-uvolnyali-za-oshibki?comment=35242867","https://dtf.ru/gameindustry/2465680-smi-the-day-before-menyali-pod-vpechatleniem-ot-drugih-igr-a-sotrudnikov-fntastic-shtrafovali-i-uvolnyali-za-oshibki","2024-02-02T09:47:42.000Z","verified","2026-07-24","true"
